latitude,longitude
-39.11,146.34
-39.11,146.34
-39.11,146.34
-39.11,146.34
-39.11,146.34
-39.11,146.34
-39.11,146.34
-39.11,146.34
-39.11,146.34
-39.14,146.32
-39.14,146.32
-39.14,146.32
-39.14,146.32
-39.14,146.32
-39.14,146.32
-39.14,146.32
-39.14,146.32
-39.14,146.32
-39.14,146.32
-39.14,146.32
-39.14,146.32
-39.14,146.32
-39.14,146.32
-39.14,146.32
-39.14,146.32
-39.14,146.32
-39.14,146.32
-39.14,146.32
-39.13,146.38
-39.13,146.38
-39.13,146.38
-39.13,146.38
-39.13,146.38
-39.13,146.38
-39.13,146.38
-39.13,146.38
-39.13,146.38
-39.13,146.38
-39.12,146.42
-39.12,146.42
-39.12,146.42
-39.12,146.42
-39.12,146.42
-39.12,146.42
-39.12,146.42
-39.12,146.42
-39.11,146.43
-39.11,146.43
-39.11,146.43
-39.11,146.43
-39.11,146.43
-39.11,146.43
-39.11,146.43
-39.11,146.43
-39.11,146.43
-39.11,146.43
-39.11,146.43
-39.11,146.43
-39.11,146.43
-39.11,146.43
-39.11,146.43
-39.11,146.43
-39.06,146.45
-39.06,146.45
-39.06,146.45
-39.06,146.45
-39.06,146.45
-39.06,146.45
-39.06,146.45
-39.06,146.45
-39.06,146.45
-39.06,146.45
-39.06,146.45
-39.06,146.45
-39.06,146.45
-39.06,146.45
-39.06,146.45
-39.06,146.45
-39.06,146.45
-43.3,145.92
-43.3,145.92
-43.3,145.92
-43.3,145.92
-43.3,145.92
-43.3,145.92
-43.3,145.92
-43.3,145.92
-43.3,145.92
-43.3,145.92
-43.32,145.88
-43.32,145.88
-43.32,145.88
-43.32,145.88
-43.32,145.88
-43.32,145.88
-43.32,145.88
-43.32,145.88
-43.32,145.88
-43.32,145.88
-43.33,145.99
-43.33,145.99
-43.33,145.99
-43.33,145.99
-43.33,145.99
-43.33,145.99
-43.33,145.99
-43.33,145.99
-43.33,145.99
-43.33,145.99
-43.33,145.99
-43.37,145.94
-43.37,145.94
-43.37,145.94
-43.37,145.94
-43.37,145.94
-43.37,145.94
-43.37,145.94
-43.37,145.94
-43.3,145.9
-43.3,145.9
-43.3,145.9
-43.3,145.9
-43.3,145.9
-43.3,145.9
-43.3,145.9
-43.3,145.9
-43.3,145.9
-43.3,145.9
-43.3,145.9
-43.3,145.9
-43.3,145.9
-43.32,145.99
-43.32,145.99
-43.32,145.99
-39.49,147.34
-39.49,147.34
-39.49,147.34
-39.49,147.34
-39.49,147.34
-39.49,147.34
-39.49,147.34
-39.49,147.34
-39.49,147.34
-39.49,147.34
-39.49,147.34
-39.49,147.34
-39.49,147.34
-39.49,147.34
-39.49,147.34
-39.49,147.34
-39.49,147.33
-39.49,147.33
-39.49,147.33
-39.49,147.33
-39.44,147.28
-39.44,147.28
-39.44,147.28
-39.44,147.28
-39.44,147.28
-39.44,147.28
-39.44,147.3
-39.44,147.3
-39.44,147.3
-39.44,147.3
-39.44,147.3
-39.44,147.3
-39.44,147.3
-39.44,147.3
-39.44,147.3
-39.44,147.3
-39.44,147.3
-39.44,147.3
-39.44,147.3
-39.44,147.3
-39.44,147.3
-39.44,147.3
-39.44,147.3
-39.44,147.3
-39.44,147.3
-39.44,147.3
-39.44,147.3
-39.44,147.3
-39.44,147.3
-39.44,147.3
-39.44,147.3
-39.44,147.3
-39.46,147.31
-39.46,147.31
-39.46,147.31
-39.46,147.31
-39.46,147.31
-39.46,147.31
-39.46,147.31
-39.46,147.31
-39.46,147.31
-39.46,147.31
-39.46,147.31
-39.46,147.31
-39.46,147.31
-39.46,147.31
-39.46,147.31
-39.47,147.35
-39.47,147.35
-39.47,147.35
-39.47,147.35
-39.47,147.35
-39.47,147.35
-39.47,147.35
-39.47,147.35
-39.47,147.35
-39.47,147.35
-39.47,147.35
-39.47,147.35
-39.47,147.35
-39.47,147.35
-39.47,147.35
-39.47,147.35
-39.47,147.35
-39.47,147.35
-39.47,147.35
-39.47,147.35
-39.47,147.35
-39.47,147.35
-39.47,147.35
-39.47,147.35
-39.47,147.35
-39.47,147.35
-39.47,147.35
-39.47,147.35
-39.45,147.3
-39.45,147.3
-39.45,147.3
-39.45,147.3
-39.45,147.3
-39.45,147.3
-39.45,147.3
-39.45,147.3
-39.45,147.3
-39.45,147.3
-39.45,147.3
-39.46,147.29
-39.46,147.29
-39.46,147.29
-39.46,147.29
-39.46,147.29
-39.46,147.29
-39.46,147.29
-39.46,147.29
-39.46,147.29
-39.46,147.29
-39.46,147.29
-39.46,147.29
-39.46,147.29
-39.46,147.29
-39.45,147.3
-39.45,147.3
-39.45,147.3
-39.45,147.3
-39.45,147.3
-39.45,147.3
-39.45,147.3
-39.45,147.3
-39.45,147.3
-39.45,147.3
-39.45,147.3
-39.45,147.3
-39.45,147.3
-39.45,147.3
-39.48,146.65
-39.48,146.65
-39.48,146.65
-39.48,146.65
-39.48,146.65
-39.48,146.65
-39.48,146.65
-39.48,146.65
-39.48,146.65
-39.48,146.65
-39.47,146.65
-39.47,146.65
-39.47,146.65
-39.47,146.65
-39.47,146.65
-39.47,146.65
-39.47,146.65
-39.47,146.65
-39.47,146.65
-39.47,146.65
-39.47,146.65
-39.47,146.65
-39.47,146.65
-39.47,146.65
-39.47,146.65
-39.47,146.65
-39.47,146.65
-39.47,146.65
-39.47,146.65
-39.47,146.65
-39.47,146.65
-39.47,146.65
-39.47,146.65
-39.47,146.65
-39.47,146.65
-39.47,146.65
-39.47,146.65
-39.47,146.65
-39.47,146.65
-39.47,146.65
-39.47,146.65
-39.47,146.65
-39.47,146.65
-39.47,146.65
-39.22,146.99
-39.22,146.99
-39.22,146.99
-39.22,146.99
-39.22,146.99
-39.22,146.99
-39.22,146.99
-39.22,146.99
-39.22,146.99
-39.22,146.99
-39.22,146.99
-39.22,146.99
-39.22,146.99
-39.22,146.99
-39.22,146.99
-39.22,146.99
-39.22,146.99
-39.22,146.99
-39.22,146.99
-39.22,146.99
-39.22,146.99
-39.22,146.99
-39.22,146.99
-39.22,146.99
-39.22,146.99
-39.22,146.99
-39.22,146.99
-39.22,146.99
-39.22,146.99
-39.22,146.99
-39.22,146.99
-39.23,146.98
-39.23,146.98
-39.23,146.98
-39.23,146.98
-39.23,146.98
-39.23,146.98
-39.23,146.98
-39.23,146.98
-39.23,146.98
-39.23,146.98
-39.23,146.98
-39.23,146.98
-39.23,146.98
-39.22,146.99
-39.22,146.99
-39.22,146.99
-39.22,146.99
-39.22,146.99
-39.22,146.99
-39.22,146.99
-39.22,146.99
-39.22,146.99
-39.22,146.99
-39.22,146.99
-39.22,146.99
-39.22,146.99
-39.22,146.99
-39.22,146.99
-39.22,146.99
-39.22,146.99
-39.22,146.99
-39.22,146.99
-39.22,146.99
-39.22,146.99
-39.22,146.99
-39.22,146.99
-39.22,146.99
-39.22,146.99
-39.21,147.02
-39.21,147.02
-39.21,147.02
-39.21,147.02
-39.21,147.02
-39.21,147.02
-39.21,147.02
-39.21,147.02
-39.21,147.02
-39.21,147.02
-39.21,147.02
-39.21,147.02
-39.45,147.38
-39.45,147.38
-39.45,147.38
-39.45,147.38
-39.45,147.38
-39.45,147.38
-39.45,147.38
-39.45,147.38
-39.45,147.38
-39.45,147.38
-39.45,147.38
-39.45,147.38
-39.45,147.38
-39.45,147.38
-39.45,147.38
-39.45,147.38
-39.47,147.31
-39.47,147.31
-39.47,147.31
-39.47,147.31
-39.47,147.31
-39.47,147.31
-39.47,147.31
-39.47,147.31
-39.47,147.31
-39.47,147.31
-39.47,147.31
-39.47,147.31
-39.47,147.31
-39.47,147.31
-39.47,147.31
-39.47,147.31
-39.47,147.31
-39.47,147.31
-39.47,147.31
-39.47,147.31
-39.47,147.31
-39.44,147.3
-39.44,147.3
-39.44,147.3
-39.44,147.3
-39.44,147.3
-39.44,147.3
-39.44,147.3
-39.44,147.3
-39.44,147.3
-39.44,147.3
-39.44,147.3
-39.44,147.3
-39.44,147.3
-39.45,147.33
-39.45,147.33
-39.45,147.33
-39.45,147.33
-39.45,147.33
-39.45,147.33
-39.45,147.33
-39.45,147.33
-39.45,147.33
-39.45,147.33
-39.45,147.33
-39.45,147.33
-39.45,147.33
-39.45,147.33
-39.45,147.33
-39.45,147.33
-39.44,147.29
-39.44,147.29
-39.44,147.29
-39.44,147.29
-39.44,147.29
-39.44,147.29
-39.44,147.29
-39.44,147.29
-39.44,147.29
-39.44,147.29
-39.44,147.29
-39.44,147.29
-39.44,147.29
-39.44,147.29
-39.44,147.29
-35.4,138.33
-35.4,138.33
-35.4,138.33
-35.4,138.33
-35.4,138.33
-35.4,138.33
-35.53,138.15
-35.53,138.15
-35.53,138.15
-35.53,138.15
-35.5,138.23
-35.4,138.33
-35.62,138.56
-35.62,138.56
-35.57,138.61
-35.57,138.61
-35.57,138.61
-35.57,138.61
-35.57,138.61
-35.57,138.61
-35.57,138.61
-35.57,138.61
-35.57,138.61
-35.57,138.61
-35.57,138.61
-35.57,138.61
-35.75,138.06
-35.75,138.06
-35.75,138.06
-35.75,138.06
-35.75,138.06
-35.75,138.06
-35.75,138.06
-35.75,138.06
-35.75,138.06
-35.75,138.06
-35.75,138.06
-35.75,138.06
-35.75,138.06
-35.75,138.06
-35.75,138.06
-35.75,138.06
-35.75,138.06
-35.75,138.06
-35.75,138.06
-35.75,138.06
-35.76,138.07
-35.76,138.07
-35.76,138.07
-35.76,138.07
-35.76,138.07
-42.88,147.37
-42.88,147.37
-42.88,147.37
-42.88,147.37
-42.88,147.37
-42.88,147.39
-42.88,147.39
-42.88,147.39
-42.88,147.39
-42.93,147.36
-42.93,147.36
-42.93,147.36
-42.93,147.36
-42.93,147.36
-42.93,147.36
-42.93,147.36
-42.95,147.36
-42.95,147.36
-42.95,147.36
-42.95,147.36
-42.95,147.36
-42.95,147.36
-42.95,147.36
-42.95,147.36
-42.95,147.36
-42.95,147.36
-42.95,147.36
-42.95,147.36
-43,147.33
-43,147.33
-43,147.33
-43,147.33
-43,147.33
-43,147.33
-43,147.33
-43,147.33
-43,147.33
-43,147.33
-43,147.33
-43,147.33
-42.97,147.34
-42.97,147.34
-42.97,147.34
-42.97,147.34
-42.98,147.39
-42.98,147.39
-42.98,147.39
-42.98,147.39
-42.98,147.39
-42.98,147.39
-42.98,147.39
-42.98,147.39
-42.98,147.39
-42.98,147.39
-42.98,147.39
-42.98,147.39
-42.98,147.39
-42.98,147.39
-43.01,147.33
-43.01,147.33
-43.01,147.33
-43.01,147.33
-43.01,147.33
-43.01,147.33
-43.01,147.33
-43.01,147.33
-43.01,147.33
-43.01,147.33
-43.01,147.33
-43.01,147.33
-43.01,147.33
-43.01,147.33
-43.01,147.33
-43.01,147.33
-43.01,147.33
-42.56,148.07
-42.56,148.07
-42.56,148.07
-42.56,148.07
-42.56,148.07
-42.56,148.07
-42.56,148.07
-42.56,148.07
-42.56,148.07
-42.56,148.07
-42.56,148.07
-42.56,148.07
-42.56,148.07
-42.56,148.07
-42.56,148.07
-42.56,148.07
-42.66,148.01
-42.66,148.01
-42.72,148.01
-42.72,148.01
-42.72,148.01
-42.72,148.01
-42.72,148.01
-42.72,148.01
-42.72,148.01
-42.72,148.01
-42.72,148.01
-42.72,148.01
-42.72,148.01
-42.72,148.01
-42.72,148.01
-42.72,148.01
-42.72,148.01
-42.72,148.01
-42.72,148.01
-42.58,148.06
-42.58,148.06
-42.58,148.06
-42.58,148.06
-42.58,148.06
-42.58,148.06
-42.58,148.06
-42.58,148.06
-42.58,148.06
-42.58,148.06
-42.58,148.06
-42.58,148.06
-42.58,148.06
-42.58,148.06
-42.58,148.06
-42.6,148.05
-42.6,148.05
-42.6,148.05
-42.6,148.05
-42.6,148.05
-42.6,148.05
-42.6,148.05
-42.6,148.05
-42.6,148.05
-42.6,148.05
-42.6,148.05
-42.6,148.05
-42.6,148.05
-42.6,148.05
-42.6,148.05
-42.59,148.05
-42.59,148.05
-42.63,148.02
